MTCH||00000001||BaNCS IS||0002||0002||V43||00000004||20270709||202707||00000004||00000||Success
MPMT||02||0001||1||||||||||0010||800278194001||||NAD||NAM||000000023100||20270707||P||20270709||00000000||00000000||21955240821112019||00000||Success||253001||MFCNA||LIFE||RPLTI
MPMT||02||0001||1||||||||||0010||107534560001||||ZAR||ZAF||000000034100||20270707||P||20270709||00000000||00000000||21955284121112019||00000||Success||253002||PFZA||LIFE||RPLTI
MPMT||02||0001||1||||||||||0010||100666444001||||ZAR||ZAF||000000021200||20270707||P||20270709||00000000||00000000||21956306621112019||00000||Success||253003||PFZA||LIFE||RPLTI
MPMT||02||0001||1||||||||||0010||800076323001||||NAD||NAM||000000039000||20270707||P||20270709||00000000||00000000||21955712921112019||00000||Success||253004||MFCNA||LIFE||RPLTI
MPMT||02||0001||1||||||||||0010||108469510001||||ZAR||ZAF||000000037200||20270707||P||20270709||00000000||00000000||21955393721112019||00000||Success||253005||PFZA||LIFE||RPLTI
MPMT||02||0001||1||||||||||0010||100666333001||||ZAR||ZAF||000000052100||20270707||P||20270709||00000000||00000000||21956479021112019||00000||Success||253006||PFZA||LIFE||RPLTI
MPMT||02||0001||1||||||||||0010||800337799001||||NAD||NAM||000000042400||20270707||P||20270709||00000000||00000000||21955761221112019||00000||Success||253007||MFCNA||LIFE||RPLTI
MPMT||02||0001||1||||||||||0010||100666555001||||ZAR||ZAF||000000059500||20270707||P||20270709||00000000||00000000||21956420021112019||00000||Success||253008||PFZA||LIFE||RPLTI
MPMT||02||0001||1||||||||||0010||800199124001||||NAD||NAM||000000069400||00000000||U||00000000||20270709||00000000||21972721802072027||05614||Account in liquidation (company)||253009||MFCNA||LIFE||RPLTI
MPMT||02||0001||1||||||||||0010||800666222001||||NAD||NAM||000000102600||00000000||U||00000000||20270709||00000000||21956559321112019||05614||Account in liquidation (company)||253010||MFCNA||LIFE||RPLTI
